ID,bookID,chapterInBook,url,title,povID,ChapterRating
143,2,0,/index.php/A_Storm_of_Swords-Prologue,Prologue,300,8.02
144,2,1,/index.php/A_Storm_of_Swords-Chapter_1,Jaime I,785,7.68
145,2,2,/index.php/A_Storm_of_Swords-Chapter_2,Catelyn I,287,6.67
146,2,3,/index.php/A_Storm_of_Swords-Chapter_3,Arya I,136,6.91
147,2,4,/index.php/A_Storm_of_Swords-Chapter_4,Tyrion I,1716,8.01
148,2,5,/index.php/A_Storm_of_Swords-Chapter_5,Davos I,385,7.23
149,2,6,/index.php/A_Storm_of_Swords-Chapter_6,Sansa I,1530,7.76
150,2,7,/index.php/A_Storm_of_Swords-Chapter_7,Jon I,851,7.99
151,2,8,/index.php/A_Storm_of_Swords-Chapter_8,Daenerys I,352,7.85
152,2,9,/index.php/A_Storm_of_Swords-Chapter_9,Bran I,240,7.23
153,2,10,/index.php/A_Storm_of_Swords-Chapter_10,Davos II,385,7.8
154,2,11,/index.php/A_Storm_of_Swords-Chapter_11,Jaime II,785,7.68
155,2,12,/index.php/A_Storm_of_Swords-Chapter_12,Tyrion II,1716,6.33
156,2,13,/index.php/A_Storm_of_Swords-Chapter_13,Arya II,136,7.73
157,2,14,/index.php/A_Storm_of_Swords-Chapter_14,Catelyn II,287,7.3
158,2,15,/index.php/A_Storm_of_Swords-Chapter_15,Jon II,851,7.54
159,2,16,/index.php/A_Storm_of_Swords-Chapter_16,Sansa II,1530,6.78
160,2,17,/index.php/A_Storm_of_Swords-Chapter_17,Arya III,136,6.93
161,2,18,/index.php/A_Storm_of_Swords-Chapter_18,Samwell I,1527,8.63
162,2,19,/index.php/A_Storm_of_Swords-Chapter_19,Tyrion III,1716,8.31
163,2,20,/index.php/A_Storm_of_Swords-Chapter_20,Catelyn III,287,8.11
164,2,21,/index.php/A_Storm_of_Swords-Chapter_21,Jaime III,785,8.65
165,2,22,/index.php/A_Storm_of_Swords-Chapter_22,Arya IV,136,7.33
166,2,23,/index.php/A_Storm_of_Swords-Chapter_23,Daenerys II,352,7.84
167,2,24,/index.php/A_Storm_of_Swords-Chapter_24,Bran II,240,8.87
168,2,25,/index.php/A_Storm_of_Swords-Chapter_25,Davos III,385,7.85
169,2,26,/index.php/A_Storm_of_Swords-Chapter_26,Jon III,851,7.8
170,2,27,/index.php/A_Storm_of_Swords-Chapter_27,Daenerys III,352,9.2
171,2,28,/index.php/A_Storm_of_Swords-Chapter_28,Sansa III,1530,8.18
172,2,29,/index.php/A_Storm_of_Swords-Chapter_29,Arya V,136,7.3
173,2,30,/index.php/A_Storm_of_Swords-Chapter_30,Jon IV,851,7.29
174,2,31,/index.php/A_Storm_of_Swords-Chapter_31,Jaime IV,785,7.9
175,2,32,/index.php/A_Storm_of_Swords-Chapter_32,Tyrion IV,1716,7.09
176,2,33,/index.php/A_Storm_of_Swords-Chapter_33,Samwell II,1527,8.53
177,2,34,/index.php/A_Storm_of_Swords-Chapter_34,Arya VI,136,8.45
178,2,35,/index.php/A_Storm_of_Swords-Chapter_35,Catelyn IV,287,7.02
179,2,36,/index.php/A_Storm_of_Swords-Chapter_36,Davos IV,385,8.56
180,2,37,/index.php/A_Storm_of_Swords-Chapter_37,Jaime V,785,8.92
181,2,38,/index.php/A_Storm_of_Swords-Chapter_38,Tyrion V,1716,8.39
182,2,39,/index.php/A_Storm_of_Swords-Chapter_39,Arya VII,136,7.26
183,2,40,/index.php/A_Storm_of_Swords-Chapter_40,Bran III,240,7.48
184,2,41,/index.php/A_Storm_of_Swords-Chapter_41,Jon V,851,8.27
